epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,48.3276,2.33355,1.24366,1.1342,0.69611,0.875,0.95333,0.42263,2.11829,1.03323,1.04764,0.0003425,0.0003425,0.0003425
46,49.1767,2.29685,1.27638,1.12224,0.79626,0.98486,0.995,0.46013,2.25942,1.1012,1.0636,0.000321875,0.000321875,0.000321875
47,49.9823,2.27503,1.14148,1.10046,0.78327,0.99212,0.995,0.46947,2.25228,1.1323,1.06087,0.00030125,0.00030125,0.00030125
48,50.8232,2.21385,1.17336,1.08074,0.78305,0.99046,0.995,0.52231,2.00438,1.0508,1.02678,0.000280625,0.000280625,0.000280625
49,51.6557,2.25955,1.18981,1.08589,0.79475,0.98065,0.995,0.53885,1.86576,1.0197,1.00962,0.00026,0.00026,0.00026
50,52.4838,2.25028,1.18364,1.09111,0.7995,0.97812,0.995,0.54719,1.87888,1.01737,1.00934,0.000239375,0.000239375,0.000239375
51,56.7948,1.98269,1.16548,1.10331,0.77992,0.9866,0.995,0.54304,1.84783,1.01407,1.01071,0.00021875,0.00021875,0.00021875
52,57.6957,1.9998,1.12812,1.12055,0.71056,0.9981,0.995,0.5679,1.79557,1.00868,1.00932,0.000198125,0.000198125,0.000198125
53,58.5773,1.97076,1.09896,1.12361,0.67801,1,0.995,0.53885,1.81129,1.01485,1.0083,0.0001775,0.0001775,0.0001775
54,59.4051,1.98171,1.1109,1.08653,0.68322,1,0.995,0.56783,1.79156,1.00553,1.00346,0.000156875,0.000156875,0.000156875
55,60.2407,1.90644,1.07899,1.10362,0.67999,1,0.995,0.61758,1.75924,0.98471,0.99937,0.00013625,0.00013625,0.00013625
56,61.0773,1.95333,1.11786,1.10824,0.6798,1,0.995,0.5345,1.75185,0.96373,0.99757,0.000115625,0.000115625,0.000115625
57,61.915,1.9244,1.07442,1.09153,0.68505,1,0.995,0.52212,1.77313,0.96355,0.99542,9.5e-05,9.5e-05,9.5e-05
58,62.8281,1.94091,1.0792,1.10685,0.68728,1,0.995,0.54706,1.82148,0.9724,0.99994,7.4375e-05,7.4375e-05,7.4375e-05
59,63.6723,1.89234,1.10396,1.12034,0.6834,1,0.995,0.54706,1.81347,0.97197,0.99975,5.375e-05,5.375e-05,5.375e-05
60,64.4778,1.93123,1.07696,1.10892,0.68367,1,0.995,0.53469,1.81626,0.97301,1.0012,3.3125e-05,3.3125e-05,3.3125e-05
